日期,浏览量,浏览量环比,访客数,访客数环比,人均浏览量,人均浏览量环比,平均停留时间,平均停留时间环比,跳失率,跳失率环比,成交客户数,成交客户数环比,成交单量,成交单量环比,成交金额,成交金额环比,客单价,客单价环比,成交商品件数,成交商品件数环比,成交转化率,成交转化率环比,下单客户数,下单客户数环比,下单单量,下单单量环比,下单金额,下单金额环比,下单商品件数,下单商品件数环比,下单转化率,下单转化率环比,下单成交转化率,下单成交转化率环比
2017-03-24,302275,-,81296,-,3.72,-,107.73,-,53.25%,-,6584,-,6799,-,555619.24,-,84.39,-,25942,-,8.10%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-03-25,247981,-,59121,-,4.19,-,119.39,-,48.67%,-,5425,-,5638,-,551875.84,-,101.73,-,24390,-,9.18%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-03-26,229267,-,54159,-,4.23,-,121.98,-,47.79%,-,4970,-,5139,-,409417.17,-,82.38,-,21205,-,9.18%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-03-27,219976,-,51008,-,4.31,-,125.0,-,47.68%,-,4290,-,4451,-,491242.81,-,114.51,-,23249,-,8.41%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-03-28,209773,-,48338,-,4.34,-,125.57,-,47.35%,-,4022,-,4163,-,387795.61,-,96.42,-,19672,-,8.32%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-03-29,208050,-,48615,-,4.28,-,119.56,-,49.20%,-,3972,-,4108,-,355667.29,-,89.54,-,18674,-,8.17%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-03-30,226071,-,55986,-,4.04,-,116.86,-,50.66%,-,4240,-,4414,-,451782.43,-,106.55,-,21437,-,7.57%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-03-31,216892,-,51873,-,4.18,-,120.92,-,49.38%,-,4137,-,4261,-,383602.8,-,92.72,-,21219,-,7.98%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-04-01,202653,-,52662,-,3.85,-,116.34,-,49.49%,-,3438,-,3541,-,310457.54,-,90.3,-,16371,-,6.53%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-04-02,220528,-,64102,-,3.44,-,98.95,-,54.79%,-,4960,-,5137,-,517798.51,-,104.39,-,21493,-,7.74%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-04-03,195880,-,53153,-,3.69,-,104.16,-,52.53%,-,3474,-,3596,-,295645.11,-,85.1,-,14993,-,6.54%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-04-04,220050,-,60080,-,3.66,-,110.88,-,51.75%,-,4018,-,4156,-,356541.2,-,88.74,-,18973,-,6.69%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-04-05,198595,-,50044,-,3.97,-,110.04,-,51.24%,-,4085,-,4230,-,516967.48,-,126.55,-,21047,-,8.16%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-04-06,206342,-,49400,-,4.18,-,122.39,-,48.36%,-,3914,-,4032,-,366796.13,-,93.71,-,19705,-,7.92%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-04-07,192190,-,45719,-,4.2,-,119.84,-,48.39%,-,3669,-,3782,-,340465.53,-,92.8,-,18653,-,8.03%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-04-08,247215,-,68547,-,3.61,-,100.17,-,54.06%,-,4550,-,4698,-,400233.33,-,87.96,-,20679,-,6.64%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-04-09,244919,-,59308,-,4.13,-,111.23,-,50.29%,-,4796,-,4948,-,604542.6,-,126.05,-,27447,-,8.09%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-04-10,233573,-,59593,-,3.92,-,107.33,-,52.53%,-,4735,-,4901,-,537512.41,-,113.52,-,23746,-,7.95%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
