日期,浏览量,浏览量环比,访客数,访客数环比,人均浏览量,人均浏览量环比,平均停留时间,平均停留时间环比,跳失率,跳失率环比,成交客户数,成交客户数环比,成交单量,成交单量环比,成交金额,成交金额环比,客单价,客单价环比,成交商品件数,成交商品件数环比,成交转化率,成交转化率环比,下单客户数,下单客户数环比,下单单量,下单单量环比,下单金额,下单金额环比,下单商品件数,下单商品件数环比,下单转化率,下单转化率环比,下单成交转化率,下单成交转化率环比
2017-12-08,279686,-,52438,-,5.33,-,98.04,-,45.10%,-,5497,-,6753,-,482788.6,-,87.83,-,33047,-,10.48%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-12-09,281635,-,51310,-,5.49,-,97.5,-,43.37%,-,5500,-,6829,-,474188.1,-,86.22,-,33203,-,10.72%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-12-10,307947,-,57785,-,5.33,-,93.44,-,46.09%,-,6101,-,7660,-,536290.7,-,87.9,-,38170,-,10.56%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-12-11,461297,-,78198,-,5.9,-,108.87,-,43.11%,-,6902,-,8147,-,599175.83,-,86.81,-,45783,-,8.83%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-12-12,874348,-,160415,-,5.45,-,103.51,-,46.11%,-,24527,-,30109,-,2508757.59,-,102.29,-,140702,-,15.29%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-12-13,397379,-,72552,-,5.48,-,98.34,-,44.78%,-,7917,-,9575,-,702469.6,-,88.73,-,46258,-,10.91%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-12-14,419470,-,73681,-,5.69,-,103.38,-,43.26%,-,7937,-,10126,-,766291.57,-,96.55,-,49599,-,10.77%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-12-15,344609,-,74754,-,4.61,-,89.96,-,49.16%,-,6024,-,7993,-,558476.56,-,92.71,-,37120,-,8.06%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-12-16,334938,-,69231,-,4.84,-,95.67,-,47.71%,-,6454,-,8369,-,630273.5,-,97.66,-,37503,-,9.32%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-12-17,278725,-,56951,-,4.89,-,91.9,-,45.13%,-,5340,-,7234,-,475765.2,-,89.09,-,32483,-,9.38%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-12-18,252218,-,49744,-,5.07,-,96.71,-,46.10%,-,5125,-,7026,-,496871.2,-,96.95,-,32089,-,10.30%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-12-19,265421,-,51487,-,5.16,-,98.2,-,45.69%,-,5396,-,7386,-,514847.6,-,95.41,-,34107,-,10.48%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-12-20,256991,-,49177,-,5.23,-,98.85,-,45.49%,-,5235,-,7658,-,501944.3,-,95.88,-,33341,-,10.65%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-12-21,290075,-,58333,-,4.97,-,94.24,-,48.06%,-,6002,-,8886,-,559539.0,-,93.23,-,39224,-,10.29%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-12-22,298415,-,67915,-,4.39,-,91.21,-,51.83%,-,6453,-,8133,-,695310.21,-,107.75,-,35944,-,9.50%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-12-23,303729,-,56232,-,5.4,-,99.78,-,44.10%,-,7197,-,9014,-,1001969.71,-,139.22,-,44505,-,12.80%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-12-24,255429,-,48943,-,5.22,-,92.55,-,45.57%,-,5694,-,7452,-,457089.81,-,80.28,-,31134,-,11.63%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-12-25,310706,-,56404,-,5.51,-,107.81,-,43.56%,-,7416,-,10330,-,851956.1,-,114.88,-,42258,-,13.15%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-12-26,385992,-,74477,-,5.18,-,98.36,-,46.84%,-,8653,-,12236,-,949197.92,-,109.7,-,49469,-,11.62%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-12-27,404313,-,82343,-,4.91,-,99.93,-,48.19%,-,9018,-,12240,-,1092405.96,-,121.14,-,47151,-,10.95%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-12-28,395471,-,69930,-,5.66,-,108.48,-,42.54%,-,8654,-,12487,-,1118682.03,-,129.27,-,58166,-,12.38%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-12-29,288233,-,56153,-,5.13,-,101.21,-,45.80%,-,5588,-,7777,-,567206.73,-,101.5,-,36213,-,9.95%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-12-30,366255,-,77409,-,4.73,-,88.6,-,49.32%,-,6780,-,9857,-,683983.2,-,100.88,-,49293,-,8.76%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-12-31,311468,-,60119,-,5.18,-,102.52,-,44.76%,-,7353,-,10497,-,697464.26,-,94.85,-,44213,-,12.23%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-01-01,281072,-,53549,-,5.25,-,102.13,-,43.40%,-,7207,-,10598,-,674811.94,-,93.63,-,44047,-,13.46%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-01-02,304327,-,59090,-,5.15,-,99.27,-,43.98%,-,7081,-,9688,-,692951.1,-,97.86,-,42121,-,11.98%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-01-03,294169,-,60609,-,4.85,-,94.46,-,48.36%,-,5572,-,8758,-,623848.1,-,111.96,-,36436,-,9.19%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-01-04,264983,-,58054,-,4.56,-,94.44,-,49.99%,-,5159,-,8125,-,633349.6,-,122.77,-,33246,-,8.89%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-01-05,241999,-,48070,-,5.03,-,96.54,-,46.75%,-,4851,-,8010,-,584862.7,-,120.57,-,33355,-,10.09%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-01-06,287342,-,55378,-,5.19,-,94.62,-,45.72%,-,5644,-,8575,-,630261.5,-,111.67,-,38457,-,10.19%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-01-07,372964,-,68487,-,5.45,-,100.87,-,43.84%,-,7581,-,12044,-,794907.2,-,104.86,-,54136,-,11.07%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-01-08,367095,-,74435,-,4.93,-,98.09,-,46.38%,-,7209,-,11120,-,892959.45,-,123.87,-,52531,-,9.68%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-01-09,361843,-,87350,-,4.14,-,89.0,-,52.27%,-,6729,-,9622,-,857003.0,-,127.36,-,45917,-,7.70%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-01-10,323200,-,72623,-,4.45,-,91.65,-,49.02%,-,6113,-,8457,-,859350.2,-,140.58,-,39772,-,8.42%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-01-11,334067,-,70704,-,4.72,-,96.13,-,46.61%,-,6520,-,9313,-,952199.9,-,146.04,-,44916,-,9.22%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-01-12,322490,-,71894,-,4.49,-,92.38,-,48.59%,-,6436,-,9068,-,938096.0,-,145.76,-,39464,-,8.95%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-01-13,345513,-,76205,-,4.53,-,85.86,-,48.82%,-,6352,-,9163,-,738036.9,-,116.19,-,38848,-,8.34%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-01-14,338941,-,84229,-,4.02,-,83.25,-,51.66%,-,6360,-,8577,-,785287.4,-,123.47,-,36623,-,7.55%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-01-15,388199,-,80649,-,4.81,-,101.62,-,45.20%,-,8799,-,11268,-,1358546.9,-,154.4,-,43740,-,10.91%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-01-16,509866,-,123430,-,4.13,-,93.37,-,49.59%,-,15182,-,22839,-,1407637.2,-,92.72,-,141649,-,12.30%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-01-17,386447,-,83619,-,4.62,-,99.93,-,47.35%,-,7500,-,10377,-,1288826.1,-,171.84,-,46916,-,8.97%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-01-18,452982,-,91795,-,4.93,-,101.35,-,44.41%,-,9122,-,13251,-,1269605.1,-,139.18,-,60813,-,9.94%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-01-19,434665,-,91772,-,4.74,-,96.4,-,46.61%,-,8282,-,12129,-,1287304.6,-,155.43,-,54156,-,9.02%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-01-20,467938,-,105855,-,4.42,-,90.45,-,49.56%,-,8018,-,11534,-,1232079.8,-,153.66,-,48665,-,7.57%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-01-21,489035,-,119381,-,4.1,-,86.69,-,51.24%,-,8686,-,12216,-,1281452.2,-,147.53,-,46369,-,7.28%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-01-22,460578,-,100176,-,4.6,-,97.16,-,47.70%,-,8433,-,11613,-,1483813.2,-,175.95,-,47904,-,8.42%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-01-23,504269,-,109011,-,4.63,-,100.42,-,47.60%,-,8011,-,10881,-,1546377.0,-,193.03,-,44958,-,7.35%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-01-24,1246675,-,295481,-,4.22,-,111.12,-,48.97%,-,23072,-,31086,-,4433877.94,-,192.18,-,119599,-,7.81%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-01-25,729695,-,158170,-,4.61,-,103.63,-,48.24%,-,13552,-,18869,-,2418594.18,-,178.47,-,77954,-,8.57%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-01-26,776916,-,181592,-,4.28,-,95.71,-,52.45%,-,15500,-,22256,-,3209378.24,-,207.06,-,85488,-,8.54%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-01-27,799791,-,186147,-,4.3,-,87.97,-,53.56%,-,15053,-,20690,-,2416600.79,-,160.54,-,85395,-,8.09%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-01-28,787725,-,195389,-,4.03,-,81.15,-,55.78%,-,14428,-,19616,-,2371364.06,-,164.36,-,76017,-,7.38%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-01-29,776338,-,176260,-,4.4,-,92.8,-,52.54%,-,14789,-,19941,-,3310802.99,-,223.87,-,83014,-,8.39%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-01-30,1132473,-,270721,-,4.18,-,95.65,-,53.75%,-,21935,-,29493,-,4870721.03,-,222.05,-,117786,-,8.10%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-01-31,1333675,-,292621,-,4.56,-,97.97,-,49.94%,-,23587,-,32082,-,4710627.76,-,199.71,-,131394,-,8.06%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-02-01,1233390,-,224817,-,5.49,-,119.91,-,41.54%,-,29072,-,37791,-,6384373.15,-,219.61,-,137264,-,12.93%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-02-02,864541,-,157789,-,5.48,-,116.94,-,41.36%,-,19302,-,25803,-,4439998.25,-,230.03,-,97436,-,12.23%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-02-03,1012549,-,193496,-,5.23,-,109.33,-,43.04%,-,22233,-,30198,-,4017197.19,-,180.69,-,105431,-,11.49%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-02-04,1177239,-,215409,-,5.47,-,112.07,-,41.41%,-,28522,-,38555,-,4937721.49,-,173.12,-,136724,-,13.24%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-02-05,1086769,-,201651,-,5.39,-,114.74,-,42.26%,-,25432,-,34396,-,5045536.47,-,198.39,-,124413,-,12.61%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-02-06,1055727,-,211185,-,5.0,-,103.53,-,45.41%,-,23270,-,31597,-,4249412.6,-,182.61,-,111349,-,11.02%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-02-07,993010,-,185583,-,5.35,-,107.52,-,42.90%,-,23085,-,31964,-,4082509.3,-,176.85,-,105305,-,12.44%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-02-08,880923,-,172490,-,5.11,-,100.51,-,44.19%,-,20363,-,26854,-,3508941.4,-,172.32,-,93491,-,11.81%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-02-09,867726,-,173567,-,5.0,-,102.21,-,43.99%,-,20230,-,24999,-,3269130.7,-,161.6,-,90161,-,11.66%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-02-10,977386,-,188877,-,5.17,-,100.5,-,43.07%,-,22705,-,29111,-,3314896.4,-,146.0,-,118900,-,12.02%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-02-11,832588,-,180905,-,4.6,-,89.21,-,46.90%,-,15894,-,21054,-,2107517.59,-,132.6,-,94413,-,8.79%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-02-12,476825,-,113675,-,4.19,-,79.52,-,48.00%,-,8163,-,10517,-,1074572.64,-,131.64,-,43574,-,7.18%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-02-13,372074,-,90922,-,4.09,-,73.47,-,48.27%,-,6219,-,8199,-,713857.5,-,114.79,-,38395,-,6.84%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-02-14,179838,-,51134,-,3.52,-,64.98,-,52.76%,-,2635,-,3446,-,297974.53,-,113.08,-,14798,-,5.15%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-02-15,123282,-,35746,-,3.45,-,60.59,-,52.32%,-,2152,-,2770,-,224019.54,-,104.1,-,13930,-,6.02%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-02-16,115637,-,32225,-,3.59,-,65.31,-,53.58%,-,1549,-,1977,-,152453.16,-,98.42,-,8974,-,4.81%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-02-17,112834,-,30232,-,3.73,-,70.11,-,53.07%,-,1676,-,2053,-,168477.35,-,100.52,-,8752,-,5.54%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-02-18,128520,-,33407,-,3.85,-,73.07,-,52.20%,-,1952,-,2407,-,188203.83,-,96.42,-,10629,-,5.84%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-02-19,126706,-,31362,-,4.04,-,77.48,-,51.25%,-,2102,-,2636,-,206841.44,-,98.4,-,11499,-,6.70%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-02-20,130901,-,32130,-,4.07,-,77.43,-,51.38%,-,2280,-,2845,-,229305.54,-,100.57,-,12395,-,7.10%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-02-21,169078,-,38272,-,4.42,-,81.33,-,49.03%,-,3271,-,4267,-,336964.79,-,103.02,-,19035,-,8.55%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-02-22,163716,-,38365,-,4.27,-,79.26,-,50.20%,-,3332,-,4351,-,339682.54,-,101.95,-,17836,-,8.68%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-02-23,174280,-,38746,-,4.5,-,82.55,-,49.36%,-,3598,-,4790,-,411636.74,-,114.41,-,19266,-,9.29%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-02-24,194307,-,42165,-,4.61,-,83.43,-,48.96%,-,4000,-,5254,-,432824.93,-,108.21,-,22813,-,9.49%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-02-25,177267,-,38205,-,4.64,-,80.49,-,49.10%,-,3855,-,5106,-,398473.13,-,103.37,-,21923,-,10.09%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-02-26,178709,-,38557,-,4.63,-,87.25,-,48.63%,-,3975,-,5198,-,427189.27,-,107.47,-,21754,-,10.31%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-02-27,199722,-,41029,-,4.87,-,87.76,-,48.51%,-,4366,-,5764,-,460332.67,-,105.44,-,24682,-,10.64%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-02-28,194012,-,40735,-,4.76,-,87.22,-,48.55%,-,4243,-,5797,-,482610.08,-,113.74,-,25709,-,10.42%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-03-01,258594,-,50845,-,5.09,-,90.08,-,46.55%,-,6472,-,8302,-,574458.68,-,88.76,-,32388,-,12.73%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-03-02,174910,-,35117,-,4.98,-,88.91,-,47.92%,-,4308,-,5477,-,403241.23,-,93.6,-,23108,-,12.27%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-03-03,161923,-,36470,-,4.44,-,76.9,-,52.81%,-,3581,-,4528,-,317332.93,-,88.62,-,18086,-,9.82%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-03-04,185032,-,40216,-,4.6,-,80.08,-,52.28%,-,3789,-,4959,-,347546.82,-,91.73,-,19926,-,9.42%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-03-05,203029,-,38045,-,5.34,-,94.59,-,46.95%,-,4627,-,6027,-,423576.81,-,91.54,-,25775,-,12.16%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-03-06,181987,-,37050,-,4.91,-,94.15,-,48.03%,-,4056,-,5294,-,367092.45,-,90.51,-,20988,-,10.95%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-03-07,205098,-,40132,-,5.11,-,94.37,-,47.47%,-,5820,-,7569,-,537698.04,-,92.39,-,27080,-,14.50%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-03-08,176783,-,35867,-,4.93,-,90.56,-,48.40%,-,4770,-,6060,-,397314.57,-,83.29,-,22290,-,13.30%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-03-09,141996,-,30655,-,4.63,-,87.06,-,48.98%,-,3535,-,4347,-,303663.28,-,85.9,-,16450,-,11.53%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-03-10,157026,-,32693,-,4.8,-,87.87,-,47.33%,-,4530,-,5272,-,349425.67,-,77.14,-,18828,-,13.86%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-03-11,146031,-,29910,-,4.88,-,85.15,-,48.70%,-,3869,-,4702,-,304570.55,-,78.72,-,17240,-,12.94%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-03-12,171490,-,36277,-,4.73,-,87.73,-,49.46%,-,4703,-,5660,-,381237.97,-,81.06,-,21165,-,12.96%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-03-13,162209,-,36075,-,4.5,-,87.4,-,52.03%,-,4131,-,4921,-,327633.43,-,79.31,-,21651,-,11.45%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-03-14,160777,-,34363,-,4.68,-,89.35,-,49.18%,-,3870,-,4693,-,321587.5,-,83.1,-,21829,-,11.26%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-03-15,187296,-,39165,-,4.78,-,95.14,-,49.41%,-,4470,-,5629,-,383108.4,-,85.71,-,26894,-,11.41%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-03-16,208908,-,49735,-,4.2,-,87.3,-,53.32%,-,4888,-,6088,-,395614.9,-,80.94,-,27985,-,9.83%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-03-17,188525,-,39279,-,4.8,-,91.82,-,48.48%,-,4543,-,6000,-,381347.0,-,83.94,-,27656,-,11.57%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-03-18,175771,-,34464,-,5.1,-,88.44,-,46.81%,-,4529,-,5931,-,377215.7,-,83.29,-,27973,-,13.14%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-03-19,184354,-,37661,-,4.9,-,89.26,-,48.46%,-,4573,-,5871,-,369413.8,-,80.78,-,27370,-,12.14%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-03-20,335305,-,58503,-,5.73,-,104.03,-,42.53%,-,9194,-,11168,-,710753.3,-,77.31,-,48204,-,15.72%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-03-21,215714,-,39864,-,5.41,-,94.08,-,46.96%,-,5493,-,7038,-,440299.5,-,80.16,-,31465,-,13.78%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-03-22,156155,-,30132,-,5.18,-,91.79,-,47.85%,-,3911,-,4883,-,343285.1,-,87.77,-,23261,-,12.98%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-03-23,173239,-,32328,-,5.36,-,95.28,-,46.47%,-,4133,-,5214,-,362570.2,-,87.73,-,27691,-,12.78%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-03-24,168377,-,32272,-,5.22,-,87.23,-,46.82%,-,4100,-,4943,-,347696.7,-,84.8,-,26844,-,12.70%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-03-25,156252,-,30192,-,5.18,-,84.57,-,47.16%,-,3989,-,4927,-,336216.5,-,84.29,-,25213,-,13.21%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-03-26,134912,-,25851,-,5.22,-,89.7,-,47.22%,-,3374,-,4042,-,289731.7,-,85.87,-,21017,-,13.05%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-03-27,134145,-,26509,-,5.06,-,91.35,-,47.61%,-,3447,-,4016,-,295464.8,-,85.72,-,21426,-,13.00%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-03-28,142712,-,26464,-,5.39,-,93.1,-,47.27%,-,3503,-,4081,-,306914.3,-,87.61,-,21762,-,13.24%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-03-29,160309,-,29988,-,5.35,-,94.63,-,46.95%,-,4087,-,4993,-,345685.3,-,84.58,-,25671,-,13.63%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-03-30,145145,-,28046,-,5.18,-,93.42,-,48.74%,-,3160,-,3909,-,271789.8,-,86.01,-,19646,-,11.27%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-03-31,134335,-,26621,-,5.05,-,88.15,-,49.36%,-,3099,-,3770,-,263263.9,-,84.95,-,20591,-,11.64%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-04-01,122102,-,24570,-,4.97,-,79.71,-,48.71%,-,2940,-,3385,-,250651.4,-,85.26,-,17606,-,11.97%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-04-02,121021,-,28508,-,4.25,-,81.14,-,53.96%,-,2560,-,2935,-,215288.7,-,84.1,-,15328,-,8.98%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-04-03,157899,-,32271,-,4.89,-,96.96,-,49.13%,-,4551,-,5193,-,328484.5,-,72.18,-,20969,-,14.10%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-04-04,142354,-,33668,-,4.23,-,82.25,-,55.56%,-,2986,-,3412,-,234690.0,-,78.6,-,16431,-,8.87%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-04-05,179969,-,40700,-,4.42,-,81.41,-,52.51%,-,4247,-,4932,-,334515.8,-,78.77,-,22393,-,10.43%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-04-06,169395,-,32670,-,5.18,-,85.24,-,47.10%,-,4012,-,4729,-,337927.5,-,84.23,-,25077,-,12.28%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-04-07,154380,-,29443,-,5.24,-,87.83,-,46.70%,-,3806,-,4392,-,327080.8,-,85.94,-,24608,-,12.93%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-04-08,150597,-,27389,-,5.5,-,97.97,-,47.23%,-,3576,-,4184,-,296558.6,-,82.93,-,23684,-,13.06%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-04-09,178725,-,30572,-,5.85,-,98.48,-,46.29%,-,4827,-,6518,-,421644.2,-,87.35,-,40011,-,15.79%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-04-10,240329,-,51405,-,4.68,-,92.04,-,50.34%,-,7353,-,9048,-,503156.6,-,68.43,-,41196,-,14.30%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-04-11,170821,-,34458,-,4.96,-,93.69,-,49.25%,-,4354,-,5408,-,345110.6,-,79.26,-,28340,-,12.64%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-04-12,185782,-,36733,-,5.06,-,99.35,-,48.10%,-,4581,-,5755,-,389370.4,-,85.0,-,26965,-,12.47%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-04-13,177513,-,35220,-,5.04,-,95.83,-,48.04%,-,4433,-,5365,-,356256.1,-,80.36,-,23488,-,12.59%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-04-14,171512,-,33858,-,5.07,-,87.91,-,46.16%,-,4457,-,5376,-,336445.2,-,75.49,-,21744,-,13.16%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-04-15,146692,-,29341,-,5.0,-,83.73,-,48.09%,-,3726,-,4669,-,289472.7,-,77.69,-,19716,-,12.70%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-04-16,159461,-,30653,-,5.2,-,91.18,-,47.75%,-,3654,-,4454,-,295150.9,-,80.77,-,20466,-,11.92%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-04-17,266034,-,47889,-,5.56,-,94.92,-,42.96%,-,7107,-,9178,-,575906.4,-,81.03,-,40327,-,14.84%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-04-18,175655,-,32618,-,5.39,-,94.32,-,46.75%,-,4193,-,5373,-,355595.5,-,84.81,-,27737,-,12.85%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2018-04-19,156323,-,30666,-,5.1,-,90.62,-,47.92%,-,4330,-,5448,-,307491.4,-,71.01,-,26042,-,14.12%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
